VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,7/1/2015 0:00,7/1/2015 0:15,1,3.5,-73.99415588,40.75112534,1,N,-73.9768219,40.78856659,2,14,0.5,0.5,0,0,0.3,15.3
1,7/1/2015 0:00,7/1/2015 0:22,1,3.9,-73.98465729,40.76848602,1,N,-74.0001297,40.73489761,2,17,0.5,0.5,0,0,0.3,18.3
1,7/1/2015 0:00,7/1/2015 0:07,1,2.3,-73.97888947,40.76228714,1,N,-74.00421906,40.75253296,2,9,0.5,0.5,0,0,0.3,10.3
1,7/1/2015 0:00,7/1/2015 0:39,1,9.2,-73.99279022,40.7427597,1,N,-73.97151184,40.63715363,1,33,0.5,0.5,8.55,0,0.3,42.85
1,7/1/2015 0:00,7/1/2015 0:05,1,1.1,-73.91242981,40.76980972,1,N,-73.92033386,40.75744247,1,6,0.5,0.5,2,0,0.3,9.3
1,7/1/2015 0:00,7/1/2015 0:06,2,1,-73.95915985,40.77342987,1,N,-73.96935272,40.76924515,2,6.5,0.5,0.5,0,0,0.3,7.8
2,7/1/2015 0:00,7/1/2015 0:36,2,19.12,-73.78945923,40.64725876,1,N,-73.97493744,40.64942932,1,54.5,0.5,0.5,13.95,0,0.3,69.75
2,7/1/2015 0:00,7/1/2015 6:30,1,0,0,0,1,N,-73.98596191,40.76639938,2,2.5,0,0.5,0,0,0,3
2,7/1/2015 0:00,7/1/2015 11:27,1,2.58,-73.99893188,40.7446785,1,N,-73.98221588,40.77688599,1,15,0.3,0.5,1,0,0.3,17.1
2,7/1/2015 0:00,7/1/2015 0:00,1,1.07,-73.99383545,40.73543167,1,N,-74.0078125,40.7318306,1,7.5,0,0.5,1.66,0,0.3,9.96
